Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2020-08-05 03-PM,BTCUSD,11630.9,11676,11619.2,11676,11.84,137801.41
2020-08-05 02-PM,BTCUSD,11622.6,11649.2,11524.7,11630.9,324.2,3760903.45
2020-08-05 01-PM,BTCUSD,11570.8,11634.6,11557.7,11622.6,327.38,3795720.58
2020-08-05 12-PM,BTCUSD,11441.6,11591.7,11403.7,11570.8,445.56,5126222.36
2020-08-05 11-AM,BTCUSD,11401.7,11450,11395,11441.6,152.96,1746155.54
2020-08-05 10-AM,BTCUSD,11394.9,11438.8,11372.7,11401.7,177.27,2020779.94
2020-08-05 09-AM,BTCUSD,11300.4,11395,11300.4,11394.9,320.93,3649650.89
2020-08-05 08-AM,BTCUSD,11281.4,11326.9,11281.4,11300.4,73.55,831348.89
2020-08-05 07-AM,BTCUSD,11284.7,11315.2,11278.6,11281.4,60.66,685312.99
2020-08-05 06-AM,BTCUSD,11293.5,11329.8,11284.1,11284.7,165.4,1869866.31
2020-08-05 05-AM,BTCUSD,11251.7,11296.5,11237.5,11293.5,84.4,951285.25
2020-08-05 04-AM,BTCUSD,11241,11266.2,11238,11251.7,54.97,618467.16
2020-08-05 03-AM,BTCUSD,11194.5,11241,11190.2,11241,39.28,440441.79
2020-08-05 02-AM,BTCUSD,11184.2,11199.4,11154.8,11194.5,41.59,465099.52
2020-08-05 01-AM,BTCUSD,11176.4,11184.2,11099.2,11184.2,185.75,2070223.17
2020-08-05 12-AM,BTCUSD,11197.5,11220.6,11151.1,11176.4,86.9,971155.28
2020-08-04 11-PM,BTCUSD,11235.8,11239.6,11178.9,11197.5,86.58,970364.48
2020-08-04 10-PM,BTCUSD,11239.4,11259.1,11208.5,11235.8,76.43,858515.22
2020-08-04 09-PM,BTCUSD,11215.3,11252.9,11175,11239.4,99.24,1113128.71
2020-08-04 08-PM,BTCUSD,11235.1,11275,11213.1,11215.3,129.38,1456323.57
2020-08-04 07-PM,BTCUSD,11219.8,11250.5,11219.7,11235.1,142.97,1606778.79
2020-08-04 06-PM,BTCUSD,11258.1,11271.5,11212.3,11219.8,91.69,1030906.99
2020-08-04 05-PM,BTCUSD,11173.7,11259.9,11166.5,11258.1,145.06,1625290.32
2020-08-04 04-PM,BTCUSD,11220.1,11230,11144.6,11173.7,144.89,1621408.05
2020-08-04 03-PM,BTCUSD,11216.4,11233,11190.2,11220.1,107.56,1205989.08
