Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2020-08-05 03-PM,BTCUSD,11630.9,11676,11619.2,11676,11.84,137801.41
2020-08-05 02-PM,BTCUSD,11622.6,11649.2,11524.7,11630.9,324.2,3760903.45
2020-08-05 01-PM,BTCUSD,11570.8,11634.6,11557.7,11622.6,327.38,3795720.58
2020-08-05 12-PM,BTCUSD,11441.6,11591.7,11403.7,11570.8,445.56,5126222.36
2020-08-05 11-AM,BTCUSD,11401.7,11450,11395,11441.6,152.96,1746155.54
2020-08-05 10-AM,BTCUSD,11394.9,11438.8,11372.7,11401.7,177.27,2020779.94
2020-08-05 09-AM,BTCUSD,11300.4,11395,11300.4,11394.9,320.93,3649650.89
2020-08-05 08-AM,BTCUSD,11281.4,11326.9,11281.4,11300.4,73.55,831348.89
2020-08-05 07-AM,BTCUSD,11284.7,11315.2,11278.6,11281.4,60.66,685312.99
2020-08-05 06-AM,BTCUSD,11293.5,11329.8,11284.1,11284.7,165.4,1869866.31
2020-08-05 05-AM,BTCUSD,11251.7,11296.5,11237.5,11293.5,84.4,951285.25

